word,n,sent
screwed,19,-19
silly,19,-19
stealing,19,-19
subject,19,-21
superman,19,19
system,19,0
toast,19,24
wont,19,0
butler,18,22
cop,18,0
dark,18,0
hearing,18,-18
label,18,0
law,18,0
lovely,18,20
prison,18,-20
recorder,18,18
share,18,19
trash,18,-18
vacation,18,18
alive,17,17
calm,17,19
coincidence,17,0
continue,17,17
guard,17,17
honey,17,17
horrible,17,-17
land,17,17
pleased,17,17
proud,17,17
public,17,17
spoke,17,-17
velvet,17,20
base,16,0
beg,16,-19
belt,16,-19
doll,16,0
fortune,16,16
friendship,16,17
invite,16,16
level,16,16
marriage,16,16
model,16,16
opera,16,19
pound,16,-17
row,16,-17
ruin,16,-21
sally,16,0
spent,16,-16
steal,16,-16
sweat,16,0
wanting,16,-16
afford,15,15
annoying,15,-15
attack,15,-16
aunt,15,16
awful,15,-15
bless,15,16
coma,15,-17
credit,15,15
enjoying,15,16
expect,15,15
hide,15,0
junk,15,-15
lines,15,0
medical,15,15
rule,15,0
stone,15,-15
virgin,15,15
audience,14,0
blame,14,-15
boring,14,-16
cancel,14,-14
career,14,14
cute,14,15
cutting,14,-15
daily,14,0
dangerous,14,-15
favorite,14,14
gorgeous,14,14
interest,14,14
invitation,14,15
laughter,14,17
library,14,16
marry,14,15
mentor,14,14
napkin,14,0
neighborhood,14,0
obvious,14,14
prognosis,14,0
puffy,14,-16
script,14,14
series,14,0
sponge,14,-17
swear,14,16
talent,14,14
waste,14,-14
action,13,14
ass,13,-13
cashier,13,0
charity,13,13
child,13,14
contact,13,14
cough,13,-14
daughter,13,13
disturbed,13,-16
doubt,13,-18
dumb,13,-14
expecting,13,0
homeless,13,-15
impression,13,14
innocent,13,15
jealous,13,-15
kick,13,-13
leaning,13,0
numbers,13,13
offering,13,0
operation,13,0
patient,13,13
risk,13,-13
routine,13,13
spirit,13,13
spit,13,0
strike,13,-13
ugly,13,-14
agreed,12,12
ambulance,12,0
bear,12,0
buck,12,0
chuckle,12,14
communist,12,-18
crap,12,-12
cross,12,-12
desperate,12,-12
fill,12,0
focus,12,12
general,12,14
ground,12,0
illegal,12,-12
information,12,12
knowing,12,12
learn,12,13
liar,12,-12
major,12,12
offended,12,-13
pardon,12,12
pathetic,12,-13
radio,12,14
ship,12,0
sneak,12,-12
stain,12,-12
sun,12,15
suspicious,12,-12
trade,12,0
advantage,11,11
benefit,11,11
cap,11,0
chart,11,0
complicated,11,-11
dear,11,11
falling,11,-11
fancy,11,11
fighting,11,-15
flush,11,12
frantic,11,-11
gasp,11,0
genius,11,13
guarantee,11,11
guide,11,17
immediately,11,0
incident,11,0
intervention,11,0
king,11,12
mess,11,-11
nerve,11,11
opportunity,11,12
organization,11,11
peace,11,11
prefer,11,11
pretending,11,-11
promise,11,11
prove,11,11
score,11,11
serenity,11,18
serve,11,-11
slip,11,-11
split,11,-11
stolen,11,-11
successful,11,11
weight,11,0
accidentally,10,0
amused,10,10
apology,10,12
avoid,10,-10
build,10,10
cane,10,0
carol,10,10
civil,10,10
coach,10,0
confidence,10,10
copy,10,-11
crash,10,-11
cry,10,-16
damage,10,-10
distracted,10,-10
don,10,10
excellent,10,10
exchange,10,10
fascinating,10,10
fear,10,-15
force,10,-10
frustration,10,-10
gold,10,10
gonorrhea,10,-12
grow,10,10
hire,10,10
hooked,10,-10
hug,10,11
joy,10,11
management,10,10
march,10,11
miracle,10,10
nap,10,10
pact,10,0
regret,10,-10
reluctant,10,-10
scare,10,-10
serial,10,0
shell,10,-10
solid,10,10
strength,10,10
sugar,10,10
surgery,10,0
sweetheart,10,11
teacher,10,10
thirsty,10,-11
touched,10,-10
usual,10,10
zip,10,-11
account,9,0
agree,9,9
antique,9,9
auction,9,0
bath,9,10
birth,9,9
bomb,9,-10
butcher,9,-10
center,9,9
cheap,9,-10
crime,9,-9
dare,9,0
decent,9,9
defective,9,-9
fellow,9,9
flea,9,-9
forced,9,-9
friendly,9,9
grace,9,10
grandmother,9,9
incredulous,9,-9
intelligent,9,9
main,9,9
manage,9,10
marine,9,0
merry,9,11
nest,9,0
neutral,9,0
officer,9,10
planning,9,9
production,9,9
promotion,9,9
revenge,9,-10
satisfied,9,10
sentence,9,-9
shape,9,9
shout,9,0
sing,9,10
skeptical,9,-9
starving,9,-9
struggle,9,-9
stunned,9,-9
swim,9,10
terribly,9,0
treat,9,0
urgent,9,-9
usher,9,10
wasting,9,-9
wise,9,9
witness,9,0
yell,9,-9
addresses,8,8
advice,8,0
agreement,8,9
ashamed,8,-9
avoiding,8,0
bang,8,-12
bastard,8,-8
bold,8,8
breakdown,8,-8
breakup,8,-8
cabinet,8,10
charming,8,8
comfort,8,9
community,8,9
crack,8,-10
depressed,8,-8
deserve,8,9
destroyed,8,-8
dirt,8,-9
enthusiasm,8,8
fool,8,-8
forgotten,8,-8
gang,8,-8
garden,8,9
greeting,8,8
guilty,8,-8
guts,8,9
happiness,8,10
healthy,8,8
insult,8,-8
jam,8,8
laser,8,9
loving,8,8
manure,8,-10
misunderstanding,8,-8
mocking,8,-8
modest,8,8
murder,8,-8
pleasant,8,8
pointedly,8,8
polite,8,8
possibility,8,0
pride,8,8
rack,8,-8
romantic,8,8
safe,8,8
sarcasm,8,-8
shooting,8,-10
smelling,8,-8
spite,8,-8
stroke,8,-8
suffer,8,-8
toxic,8,-8
tree,8,8
volunteer,8,8
admire,7,8
agreeing,7,7
anxious,7,-7
argue,7,-7
backwards,7,-7
battery,7,-7
begging,7,-7
bitch,7,-8
bleak,7,-8
brutal,7,-7
butt,7,-10
captain,7,7
convincing,7,0
court,7,0
darkness,7,-7
demanding,7,-7
desert,7,-7
dignity,7,10
disappointment,7,-7
disaster,7,-7
disease,7,-9
effort,7,7
entertainment,7,7
government,7,-7
guilt,7,-7
helpful,7,8
holiday,7,7
impatient,7,-7
investigation,7,0
jail,7,-7
landed,7,8
league,7,7
lesson,7,7
maniac,7,-7
moron,7,-7
mountain,7,0
network,7,0
pad,7,7
panic,7,-7
pet,7,-7
picnic,7,7
pirate,7,-9
professional,7,7
remains,7,0
rusty,7,-9
shock,7,-7
sour,7,-8
speech,7,8
stern,7,-7
superficial,7,-7
thoughtful,7,7
threatening,7,-7
title,7,7
trick,7,-7
unhappy,7,-7
united,7,8
winner,7,8
worn,7,-7
accomplished,6,6
agitated,6,-6
anger,6,-6
association,6,0
balance,6,6
basketball,6,6
beer,6,6
blanket,6,0
brains,6,6
brilliant,6,6
cafe,6,9
cage,6,-7
chase,6,-6
chosen,6,6
cigarette,6,-6
confront,6,0
courtesy,6,6
criminal,6,-6
cushion,6,6
delivery,6,6
dermatologist,6,0
devil,6,-6
discussion,6,6
disposal,6,-6
effeminate,6,-6
escape,6,0
expected,6,0
experiment,6,0
filth,6,-6
flattering,6,6
frightened,6,-6
hurting,6,-6
intend,6,0
intense,6,0
intimate,6,6
iron,6,6
jury,6,0
kicking,6,0
knowledge,6,6
leader,6,6
leading,6,0
liquor,6,-6
magnificent,6,6
manual,6,0
maroon,6,-6
meaningless,6,-6
mud,6,-6
orgasm,6,13
parade,6,0
penalty,6,-6
pledge,6,6
poison,6,-7
policy,6,0
proof,6,0
qualified,6,6
rage,6,-6
react,6,0
recommend,6,6
refreshing,6,6
refuse,6,-7
savings,6,6
sea,6,6
smith,6,0
soak,6,-7
stress,6,-6
stupidity,6,-6
suggest,6,0
tension,6,0
violently,6,-6
weary,6,-6
worthy,6,6
ability,5,5
abortion,5,-5
accused,5,-5
actual,5,6
advise,5,5
argument,5,-5
attorney,5,5
aye,5,6
ballet,5,5
banker,5,0
bee,5,0
believed,5,0
bizarre,5,-5
bothering,5,-5
bran,5,0
bum,5,-9
burglar,5,-5
buried,5,-5
carefully,5,5
celebrity,5,0
charm,5,5
choke,5,-6
committed,5,5
communicate,5,5
complaint,5,-5
conscience,5,5
constant,5,5
constantly,5,0
convinced,5,0
crook,5,-7
crunch,5,-5
cursing,5,-5
customer,5,5
danger,5,-5
darling,5,6
degree,5,5
delighted,5,5
disgust,5,-5
doodle,5,-5
dumps,5,-5
dust,5,-5
exhausted,5,-5
expert,5,5
filthy,5,-5
flesh,5,0
flounder,5,-5
football,5,5
foul,5,-5
foundation,5,5
freezing,5,-6
furious,5,-5
gain,5,5
gap,5,-5
gentleman,5,5
goods,5,5
gore,5,-6
handicap,5,-5
harry,5,-6
helmet,5,5
hiding,5,0
hopeful,5,5
ignore,5,-5
illness,5,-5
injured,5,-5
install,5,0
justice,5,5
ken,5,5
khan,5,0
lazy,5,-5
lead,5,5
legal,5,5
lemon,5,-5
lonely,5,-5
lunatic,5,-5
murderer,5,-5
mutant,5,-5
mystery,5,0
nurse,5,6
official,5,0
opposed,5,-5
organ,5,0
patience,5,5
permission,5,5
pillow,5,7
poke,5,-6
porn,5,-5
powerful,5,6
practice,5,5
pray,5,5
puke,5,0
rabies,5,-5
rash,5,-5
relevant,5,5
relief,5,5
remove,5,-5
ribbon,5,5
rising,5,5
selfish,5,-5
shark,5,-5
shrink,5,-5
shrunk,5,-8
silk,5,5
sky,5,5
slap,5,-5
smug,5,-5
solution,5,5
spirits,5,5
stall,5,0
status,5,5
stranger,5,-5
strip,5,-5
suck,5,-5
suicide,5,-5
surprising,5,0
teach,5,5
tease,5,-5
tenant,5,5
terrorist,5,-5
thanksgiving,5,5
tragic,5,-5
ultimate,5,0
unable,5,-5
understanding,5,5
unfortunate,5,-5
victim,5,-5
vomit,5,0
vomiting,5,-5
warning,5,0
whip,5,-6
wound,5,-5
abnormal,4,-4
absolute,4,4
advance,4,4
aid,4,4
approval,4,4
apt,4,4
arrest,4,-4
associate,4,4
attendant,4,4
beast,4,-4
bender,4,-4
bewildered,4,-4
bonus,4,4
boo,4,-5
bride,4,4
bug,4,-4
busted,4,-4
buzz,4,4
celebrating,4,4
challenge,4,-4
cheat,4,-4
cheer,4,4
cheerful,4,4
cherry,4,6
circumcision,4,4
clap,4,4
classic,4,4
clever,4,4
compliment,4,4
confess,4,0
core,4,4
coy,4,0
cracking,4,-4
crew,4,0
cult,4,-4
delayed,4,-4
demand,4,-4
destroying,4,-4
detect,4,4
determined,4,4
dictator,4,-4
director,4,4
disorder,4,-4
dizzy,4,-4
donation,4,4
doubtful,4,-4
dread,4,-4
drugged,4,0
elbow,4,0
electric,4,4
enemy,4,-4
evil,4,-4
excitement,4,4
expired,4,-4
exposed,4,-4
exquisite,4,4
extend,4,4
faith,4,5
farm,4,0
fits,4,-4
foreign,4,-4
forgive,4,4
fortress,4,4
fragile,4,-4
fraud,4,-4
fudge,4,-5
fully,4,4
fungus,4,-6
grandfather,4,0
grateful,4,5
gross,4,-4
gymnast,4,5
happily,4,4
hero,4,4
hideous,4,-4
hilarious,4,4
holy,4,4
honor,4,4
horrified,4,-4
inadequate,4,-4
indistinct,4,-4
influence,4,0
interference,4,-4
interrupt,4,-4
intrigue,4,-4
inviting,4,4
lawsuit,4,-4
liking,4,4
lithe,4,4
lower,4,-4
matron,4,4
messy,4,-4
military,4,0
minimum,4,-4
miserable,4,-4
monster,4,-4
mouthful,4,0
mysterious,4,0
notion,4,4
optional,4,4
painful,4,-4
passenger,4,0
perfection,4,4
persistent,4,4
physics,4,4
pickle,4,-4
pill,4,4
pimple,4,-4
pity,4,0
politics,4,0
presence,4,4
procedure,4,4
progress,4,4
punch,4,-4
rebel,4,-5
refused,4,-4
rejected,4,-5
related,4,0
religion,4,0
resigned,4,-4
result,4,0
scotch,4,-5
seek,4,0
shattered,4,-4
shed,4,-4
shrill,4,-4
sickness,4,-5
sincere,4,4
siren,4,-4
smashed,4,-4
sob,4,-6
spine,4,0
steady,4,0
structure,4,4
sunk,4,-4
suspect,4,-4
sympathetic,4,4
tax,4,-4
thrill,4,4
tobacco,4,-4
torture,4,-4
tragedy,4,-4
transaction,4,0
traveling,4,4
triumphant,4,4
unimpressed,4,-4
useless,4,-4
valuable,4,4
vice,4,-4
vision,4,4
volcano,4,-4
vote,4,0
voyage,4,0
weakly,4,-4
winning,4,4
wizard,4,4
worthless,4,-4
wrath,4,-4
absorbed,3,3
academy,3,3
accomplish,3,3
accusing,3,-3
ache,3,-3
acid,3,-3
adventure,3,3
aggravated,3,-3
aghast,3,-3
alien,3,-3
ammonia,3,0
amusing,3,3
ancient,3,-3
announcement,3,0
anticipation,3,0
appeal,3,0
appreciation,3,3
architecture,3,0
athletic,3,3
atom,3,3
authentic,3,3
autopsy,3,-3
ay,3,6
balm,3,0
bark,3,-3
bawdy,3,-3
beam,3,3
beating,3,-3
blossom,3,3
blur,3,-3
bonds,3,-4
bouquet,3,3
bribe,3,-3
buffet,3,-3
bunker,3,0
chilly,3,-3
chop,3,-3
church,3,3
clue,3,0
coast,3,3
commission,3,0
compassion,3,3
competition,3,-3
complain,3,-3
confide,3,0
confident,3,3
conflict,3,-3
console,3,3
convenient,3,3
crank,3,-3
crave,3,0
create,3,3
cube,3,0
culture,3,3
curse,3,-3
damned,3,-3
delay,3,-3
dementia,3,-3
designer,3,3
despicable,3,-3
differently,3,0
disappear,3,0
dislike,3,-3
dispute,3,-3
divorce,3,-3
duke,3,3
dummy,3,-4
ease,3,3
erotic,3,0
executor,3,0
existence,3,3
experienced,3,3
expertise,3,3
explosion,3,-3
failure,3,-3
fairly,3,3
famous,3,3
feature,3,3
fever,3,0
flow,3,3
gamble,3,-3
generous,3,3
glow,3,3
gossip,3,-3
granted,3,3
grave,3,-3
greasy,3,0
hamstring,3,-3
harbor,3,0
harm,3,-3
harmony,3,3
heal,3,3
heavily,3,-3
highest,3,0
hiss,3,-3
hissing,3,-3
homework,3,0
honesty,3,3
hood,3,-3
humanitarian,3,3
hunch,3,-3
hurried,3,-3
insecure,3,-3
instructions,3,0
integrity,3,4
intelligence,3,3
inter,3,-3
jealousy,3,-3
jeopardy,3,-4
joined,3,3
judgment,3,0
leak,3,-3
learning,3,3
lesser,3,-3
loaf,3,-3
lord,3,0
loss,3,-3
lounge,3,-3
lowest,3,-3
lust,3,-3
lustrous,3,3
magical,3,3
mate,3,3
mayor,3,3
menace,3,-3
mishap,3,-3
momentum,3,3
mortal,3,-3
motive,3,3
mug,3,0
musical,3,3
nauseous,3,-3
neurotic,3,-3
nightmare,3,-3
nonsense,3,-3
odor,3,-4
offensive,3,-4
opium,3,-3
option,3,3
outrageous,3,0
overdose,3,-3
paragon,3,3
patch,3,-3
payback,3,-3
personable,3,4
policeman,3,4
polio,3,-3
polish,3,3
pope,3,3
porno,3,-3
prepared,3,3
pretended,3,-3
prickly,3,-3
priest,3,3
prince,3,3
prostitute,3,-3
protect,3,3
punish,3,-3
racket,3,-3
reflex,3,0
respects,3,3
riddle,3,0
risky,3,-3
rocket,3,0
rod,3,4
rust,3,-3
ruth,3,3
salute,3,3
sanctuary,3,3
savage,3,-3
scar,3,-3
scholarship,3,3
scream,3,-3
seal,3,3
sensual,3,0
sewer,3,0
shoplifting,3,-3
signature,3,0
simmer,3,0
skip,3,-3
slash,3,0
slim,3,3
smash,3,-3
snort,3,0
soldier,3,3
soothing,3,3
specialist,3,0
spectacular,3,0
spider,3,0
statement,3,3
strained,3,-3
success,3,3
succinct,3,3
suffering,3,-3
sunshine,3,3
survive,3,3
sweetie,3,3
sympathy,3,3
tale,3,3
taught,3,0
tender,3,3
terminal,3,-4
thief,3,-3
threat,3,-4
touchy,3,-3
tower,3,3
trainer,3,0
tribute,3,3
unbridled,3,0
undo,3,-3
uneven,3,-3
veal,3,0
verdict,3,0
volunteers,3,0
vow,3,3
warn,3,-3
warned,3,0
warranty,3,3
wasted,3,-3
whack,3,-3
whim,3,-3
wholesome,3,3
widower,3,0
wit,3,3
worrying,3,-3
wreck,3,-3
absurd,2,-2
abuse,2,-2
acceptable,2,2
accountable,2,2
accountant,2,0
accurate,2,2
adultery,2,-5
aggressive,2,-2
agony,2,-2
alliance,2,0
amusement,2,2
animosity,2,-2
anxiety,2,-2
apologetic,2,2
approving,2,2
armed,2,0
aroma,2,2
arrive,2,0
articulate,2,2
artistic,2,3
assembly,2,2
assure,2,0
attempt,2,0
authorized,2,2
babbling,2,-2
badly,2,-2
bankruptcy,2,-3
batter,2,-2
battle,2,-2
believing,2,2
beverage,2,2
biopsy,2,-2
blather,2,-2
bleeding,2,-2
blessing,2,2
bloody,2,-2
blower,2,-3
blowout,2,-2
bogus,2,-2
booze,2,-2
bound,2,-2
boxing,2,0
budget,2,0
bummer,2,-2
burke,2,-3
buzzed,2,-2
cannibal,2,-2
casket,2,-2
cautiously,2,2
cemetery,2,-2
ceremony,2,2
champion,2,2
childhood,2,2
choir,2,2
chore,2,-2
civilization,2,2
classical,2,2
clothe,2,2
collateral,2,0
commotion,2,-2
communism,2,-2
compact,2,0
comprehend,2,3
compress,2,0
concluding,2,2
concussion,2,-2
conducive,2,2
confidentially,2,0
confusion,2,-2
conserve,2,2
content,2,2
contribute,2,2
convention,2,2
corporation,2,2
counsel,2,2
county,2,0
cracked,2,-2
cramp,2,-2
cramped,2,-2
craving,2,0
crawl,2,-2
creaking,2,-2
creative,2,2
crippled,2,-2
crisis,2,-2
crisp,2,-3
crouch,2,0
cue,2,0
custody,2,0
cyclone,2,-2
damper,2,-2
dandruff,2,-2
daring,2,2
debris,2,-2
deception,2,-2
deceptive,2,-2
deduct,2,-2
defense,2,2
defenseless,2,-2
delight,2,2
delightful,2,2
delirious,2,-2
demented,2,-2
depravity,2,-2
depressing,2,-2
devious,2,-2
dictionary,2,2
difficulty,2,-2
diplomacy,2,2
disagree,2,-2
disappoint,2,-2
discharge,2,-2
disconnected,2,-2
discrimination,2,-2
disgraceful,2,-2
disinterested,2,-2
disregard,2,-2
domination,2,-2
dove,2,2
downfall,2,-2
drab,2,-2
drivel,2,-2
drool,2,0
drunken,2,-2
dull,2,-2
dynamic,2,0
eager,2,2
eavesdropping,2,-2
ecstatic,2,2
effective,2,2
electricity,2,2
eligible,2,2
embrace,2,2
encourage,2,3
entertain,2,2
entertained,2,2
erupt,2,-2
escaped,2,0
exotic,2,2
expenses,2,-2
expose,2,0
extensive,2,2
extraordinary,2,2
fame,2,2
famine,2,-2
fatal,2,-2
faulty,2,-2
fearing,2,-2
fee,2,-2
felon,2,-2
fender,2,0
fireman,2,0
flaw,2,-2
fleet,2,2
flu,2,-2
forbid,2,-2
forcibly,2,-2
forgiven,2,2
formula,2,2
fort,2,0
fortunate,2,2
freedom,2,3
frighten,2,-2
funk,2,-2
gambler,2,-2
gasping,2,-2
gate,2,0
germ,2,0
ghost,2,0
gibberish,2,-2
giggle,2,2
glory,2,3
goodwill,2,2
gorilla,2,-2
gracious,2,2
gratitude,2,2
greed,2,-2
greedy,2,-2
grotesque,2,-2
guidance,2,2
gulp,2,0
halfway,2,-2
hardened,2,-2
heartily,2,2
heel,2,-2
helpless,2,-2
herbal,2,2
hidden,2,-2
hobby,2,2
hog,2,-2
hopeless,2,-3
hostility,2,-2
humiliate,2,-2
humiliation,2,-2
humorous,2,2
hygienic,2,2
idol,2,2
immature,2,-2
impolite,2,-2
impress,2,2
improvise,2,2
income,2,0
incorrect,2,-2
independence,2,2
indigent,2,-2
injure,2,-2
innocently,2,2
inquiry,2,2
insanity,2,-2
inspiration,2,2
inspired,2,2
insulting,2,-2
intellect,2,2
interior,2,2
invalid,2,0
investigate,2,2
janitor,2,0
journalism,2,0
jungle,2,0
kidnap,2,-2
labor,2,2
landmark,2,0
leer,2,-3
leisure,2,2
liberty,2,2
lick,2,-2
limp,2,-3
lion,2,3
litigious,2,-2
loot,2,-2
lover,2,2
loyal,2,2
lump,2,-2
lure,2,-2
luxury,2,2
mafia,2,-2
magician,2,0
maintenance,2,0
manipulation,2,-2
manners,2,2
margin,2,-2
marked,2,2
marshal,2,2
masculine,2,2
measure,2,0
medal,2,2
misery,2,-2
misfortune,2,-2
mistress,2,-2
moan,2,0
monetary,2,2
moody,2,-2
moronic,2,-2
mumble,2,-3
mutual,2,2
naive,2,-2
nasty,2,-2
needle,2,2
needy,2,-2
noisy,2,-2
nun,2,-2
omen,2,-2
opponent,2,-2
optimist,2,2
orchestra,2,2
ordeal,2,-3
organic,2,2
organized,2,2
outrage,2,-2
overdue,2,-2
parole,2,0
passion,2,2
passionate,2,2
pastry,2,2
pawn,2,-2
peck,2,2
pedestrian,2,-2
penetration,2,-2
performer,2,2
perverse,2,-2
pervert,2,-2
philanthropist,2,3
phlegm,2,-2
phoenix,2,2
picketing,2,-2
pigeon,2,-2
pine,2,-2
pious,2,2
pistol,2,-2
plum,2,2
ply,2,7
pointless,2,-2
poisoning,2,-2
pompous,2,-2
population,2,2
posse,2,0
praise,2,2
precious,2,2
premises,2,2
prestige,2,2
presumptuous,2,-2
prevent,2,0
prime,2,2
profession,2,2
professor,2,2
prop,2,2
proper,2,2
prophet,2,2
protector,2,2
proven,2,0
provide,2,2
punctual,2,2
purification,2,2
radar,2,0
rags,2,-2
ranger,2,0
rat,2,-2
received,2,2
receiving,2,2
remarkable,2,2
remorse,2,-2
renewal,2,2
resentment,2,-2
resist,2,-2
restitution,2,2
retirement,2,0
reward,2,2
rightful,2,2
riot,2,-2
ripe,2,2
rosy,2,2
scheme,2,-2
scientist,2,2
scum,2,-2
secrecy,2,0
seduction,2,-2
senile,2,-2
shit,2,-2
shove,2,-2
sickening,2,-2
simmering,2,0
sincerity,2,2
sleet,2,-2
smirk,2,-2
smitten,2,2
smoker,2,-2
snag,2,-2
sneeze,2,-2
somber,2,-2
spelling,2,2
spike,2,0
sponsor,2,2
stable,2,2
stale,2,-2
starved,2,-2
sterile,2,-2
sticky,2,0
sting,2,-2
stinking,2,-2
storm,2,-2
striking,2,2
stripe,2,-2
strongly,2,2
study,2,2
sucker,2,-2
supplies,2,2
supply,2,2
supreme,2,2
surround,2,0
suspense,2,0
suspension,2,-2
swig,2,-2
swollen,2,-2
tasteful,2,2
tasty,2,2
teasing,2,-2
theory,2,0
tickle,2,3
torn,2,-2
traditional,2,2
traps,2,-2
traumatic,2,-2
trendy,2,2
tribe,2,0
triumph,2,2
tumor,2,-2
ulcer,2,-2
ulterior,2,-2
ultimatum,2,-2
uncanny,2,-2
uncertain,2,-2
unconscious,2,-2
unemployed,2,-2
unintelligible,2,-2
unknown,2,-2
unlucky,2,-2
unpleasant,2,-2
unprecedented,2,0
vehement,2,-2
verge,2,-2
veto,2,-2
vicious,2,-2
victor,2,3
violation,2,-2
violence,2,-2
violent,2,-2
vital,2,2
vocabulary,2,3
waffle,2,-2
whore,2,-2
widow,2,0
wisdom,2,2
worm,2,-2
wrench,2,-2
wrestling,2,-2
wry,2,-2
yearning,2,0
abandon,1,-1
abandonment,1,-1
abhorrent,1,-1
abolish,1,-1
abomination,1,-1
abort,1,-2
acceptance,1,1
accomplishment,1,1
aching,1,-1
acrobat,1,1
adapt,1,1
addiction,1,-1
admiration,1,1
admirer,1,1
adorable,1,1
adore,1,1
advanced,1,1
affection,1,1
affliction,1,-1
aggravation,1,-1
aiding,1,1
allegation,1,-1
allied,1,1
ally,1,1
aloof,1,-1
ambition,1,1
anarchy,1,-1
anathema,1,-1
angel,1,1
annihilation,1,-1
annoy,1,-1
annoyance,1,-1
annul,1,-1
anomaly,1,-1
antidote,1,1
antiquated,1,-1
apostle,1,1
applicant,1,0
apprehensive,1,-1
approaching,1,0
approve,1,1
aptitude,1,1
arguments,1,0
arouse,1,1
arrogant,1,-1
arson,1,-1
artisan,1,1
artiste,1,1
aspire,1,1
